,0,1,2
0,29,0,0.024323254823684692
1,29,20,0.021335125412969363
2,29,40,0.020038799360031036
3,29,60,0.019129441272406303
4,29,80,0.01835389017920803
5,29,100,0.017731292542107036
6,29,120,0.017133330110429734
7,29,140,0.016682173805773682
,0,1,2
0,30,0,0.014625883661210537
1,30,20,0.012644776630969275
2,30,40,0.012311578455676393
3,30,60,0.012252818075481986
4,30,80,0.01222482309849174
5,30,100,0.012205580904120855
6,30,120,0.01221416277949475
7,30,140,0.012223646408012996
,0,1,2
0,31,0,0.010664179921150208
1,31,20,0.010488784339811121
2,31,40,0.010613644518321606
3,31,60,0.010644064330663837
4,31,80,0.010742564076258813
5,31,100,0.010855405287134766
6,31,120,0.010884380129681638
7,31,140,0.01084681711298354
,0,1,2
0,32,0,0.013005414977669716
1,32,20,0.010038784926845915
2,32,40,0.010088612007476934
3,32,60,0.010206404363461694
4,32,80,0.010092044220432455
5,32,100,0.010071815060691373
6,32,120,0.010064744471364524
7,32,140,0.010064235369919251
,0,1,2
0,33,0,0.012224957346916199
1,33,20,0.009666565938719682
2,33,40,0.009854224419630155
3,33,60,0.009977282162328235
4,33,80,0.010157275140101526
5,33,100,0.010044589315974477
6,33,120,0.009979960354706965
7,33,140,0.009915383096705092
,0,1,2
0,34,0,0.012889529578387737
1,34,20,0.009690167160616034
2,34,40,0.009686252261262114
3,34,60,0.009576610663569853
4,34,80,0.00951122613278804
5,34,100,0.009486987241682145
6,34,120,0.009457572105471507
7,34,140,0.009385939793172458
,0,1,2
0,35,0,0.008251120336353779
1,35,20,0.008913643635986816
2,35,40,0.008930517440071194
3,35,60,0.009259361598152117
4,35,80,0.010217124510004564
5,35,100,0.012036153018511462
6,35,120,0.015816717651049216
7,35,140,0.0188760049145748
,0,1,2
0,36,0,0.03878479450941086
1,36,20,0.03544674946793488
2,36,40,0.03154420511933362
3,36,60,0.02897369540983536
4,36,80,0.027877575522403657
5,36,100,0.02665143247029864
6,36,120,0.025860787646398563
7,36,140,0.024896005320475034
,0,1,2
0,37,0,0.02060646377503872
1,37,20,0.016195219941437244
2,37,40,0.015456009724336426
3,37,60,0.01470389650737653
4,37,80,0.014239151559678125
5,37,100,0.013964927220477326
6,37,120,0.013637682523055018
7,37,140,0.013347001250912535
